CustomerID,SeniorCitizen,tenure,MonthlyCharges,gender_Female,gender_Male,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn
3758,-0.43991649313097614,-1.2774445836787656,-0.15815368812947458,0,1,0,1,0,1,1,0,1,0,0,0,1,0
3166,-0.43991649313097614,-0.0965540357978854,-0.32432453570912145,1,0,1,0,0,1,1,0,1,0,0,1,0,0
4913,2.273158691738958,0.5549717837226001,1.1712130925077,1,0,1,0,0,1,0,1,0,1,1,0,0,0
3878,-0.43991649313097614,0.43281069256250915,0.0412513289661016,0,1,1,0,0,1,1,0,1,0,0,1,0,0
3819,-0.43991649313097614,-1.2774445836787656,-1.4875204687666492,0,1,1,0,0,1,0,1,0,1,0,0,1,0
2687,-0.43991649313097614,-0.9109613101984924,-1.3213496211870024,0,1,0,1,0,1,0,1,0,1,1,0,0,0
2669,-0.43991649313097614,1.6137012404433893,0.008017159450172232,0,1,0,1,1,0,1,0,1,0,1,0,0,0
198,-0.43991649313097614,1.369379058123207,-0.2578561966772627,0,1,1,0,1,0,0,1,0,1,1,0,0,0
5805,-0.43991649313097614,1.4100994218432374,-1.45428629925072,1,0,1,0,0,1,0,1,1,0,0,0,1,0
2283,-0.43991649313097614,0.10704778280226633,-0.49049538328876824,1,0,0,1,0,1,0,1,0,1,1,0,0,0
2668,-0.43991649313097614,1.6137012404433893,1.437086448635135,0,1,0,1,0,1,0,1,0,1,0,0,1,0
6960,-0.43991649313097614,0.18848851024232702,-0.8228370784480619,1,0,1,0,1,0,1,0,0,1,0,1,0,0
3953,-0.43991649313097614,1.6137012404433893,1.3706181096032763,0,1,0,1,0,1,0,1,0,1,0,0,1,0
2779,-0.43991649313097614,-0.8295205827584317,0.6727005497687596,0,1,1,0,0,1,1,0,0,1,0,1,0,0
3128,-0.43991649313097614,0.7178532386027215,0.37359302412539525,0,1,0,1,0,1,1,0,1,0,1,0,0,0
3017,2.273158691738958,1.247217966963116,-0.9557737565117794,0,1,1,0,1,0,1,0,1,0,1,0,0,0
5478,-0.43991649313097614,-0.5444780367182193,0.7391688888006183,1,0,1,0,0,1,0,1,1,0,0,0,1,0
329,-0.43991649313097614,-0.5851984004382496,0.17418800702981907,0,1,1,0,0,1,1,0,1,0,1,0,0,0
13,2.273158691738958,-0.1779947632379461,-0.4572612137728389,0,1,0,1,0,1,0,1,0,1,0,1,0,0
4612,-0.43991649313097614,-0.1779947632379461,0.9385739058961945,0,1,0,1,0,1,0,1,1,0,0,0,1,0
6303,-0.43991649313097614,0.10704778280226633,0.8388713973484064,0,1,0,1,0,1,0,1,0,1,1,0,0,0
6265,-0.43991649313097614,-1.2774445836787656,-1.4875204687666492,1,0,1,0,0,1,1,0,0,1,0,0,1,0
3762,-0.43991649313097614,-0.748079855318371,-1.1219446040914263,0,1,1,0,1,0,0,1,1,0,0,0,1,0
6944,-0.43991649313097614,0.10704778280226633,1.4038522791192056,1,0,0,1,0,1,1,0,1,0,1,0,0,0
648,-0.43991649313097614,-1.2774445836787656,-1.4875204687666492,1,0,1,0,0,1,0,1,1,0,0,1,0,0
6953,-0.43991649313097614,1.0436161483629645,1.2376814315395588,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1036,-0.43991649313097614,-0.1779947632379461,1.3373839400873468,1,0,1,0,0,1,0,1,1,0,0,0,1,1
6392,-0.43991649313097614,-1.1145631287986442,0.5065297021891128,0,1,0,1,0,1,0,1,1,0,0,1,0,1
2610,-0.43991649313097614,1.5729808767233588,0.3071246850935365,0,1,1,0,0,1,0,1,0,1,1,0,0,0
426,-0.43991649313097614,-0.46303730927815856,1.071510583959912,1,0,1,0,0,1,0,1,1,0,1,0,0,1
2967,-0.43991649313097614,0.7992939660427822,-0.22462202716133334,1,0,1,0,0,1,1,0,1,0,1,0,0,0
1222,-0.43991649313097614,-0.7073594915983407,1.1379789229917707,1,0,1,0,0,1,1,0,1,0,1,0,0,1
6246,-0.43991649313097614,-0.46303730927815856,0.5729980412209714,0,1,1,0,0,1,0,1,1,0,0,1,0,1
2455,-0.43991649313097614,1.125056875803025,-1.45428629925072,1,0,1,0,0,1,0,1,1,0,0,0,1,0
4867,-0.43991649313097614,1.369379058123207,1.071510583959912,0,1,1,0,0,1,0,1,1,0,1,0,0,0
